date_utc,block_time_utc,height_guess,used_height,pool_len,uluna,uusd,lunc,ustc,lcd_used,error
2025-04-06T00:00:00Z,,22785971,22785971,37,9015824173523357.893263673666393810,59418205558709.261966040033849836,9015824173.523357,59418205.558709264,https://terra-classic-lcd.publicnode.com,
2025-04-13T00:00:00Z,,22886771,22886771,37,9042307958539269.307668353586164874,59449205317260.474713536990525154,9042307958.53927,59449205.317260474,https://terra-classic-lcd.publicnode.com,
2025-04-20T00:00:00Z,,22987571,22987571,37,9063928432142388.783943722488161717,59473965173969.623374930146989977,9063928432.142387,59473965.17396963,https://terra-classic-lcd.publicnode.com,
2025-04-27T00:00:00Z,,23088371,23088371,37,9108122092247206.544448085016563211,59489357606596.387965136412480958,9108122092.247206,59489357.60659639,https://terra-classic-lcd.publicnode.com,
2025-05-04T00:00:00Z,,23189171,23189171,37,9138487821223149.429623219049220811,59509834276509.604671064596758839,9138487821.22315,59509834.2765096,https://terra-classic-lcd.publicnode.com,
2025-05-11T00:00:00Z,,23289971,23289971,37,9177241323939859.441372262795483087,59543857623476.917328635605242222,9177241323.93986,59543857.623476915,https://terra-classic-lcd.publicnode.com,
2025-05-18T00:00:00Z,,23390771,23390771,37,9205440596918366.346594275653320801,59557536984387.586329449242303083,9205440596.918365,59557536.984387584,https://terra-classic-lcd.publicnode.com,
2025-05-25T00:00:00Z,,23491571,23491571,37,7760516715584328.007736248269972935,59588654658292.749349817752323774,7760516715.584328,59588654.65829275,https://terra-classic-lcd.publicnode.com,
2025-06-01T00:00:00Z,,23592371,23592371,38,7000163829211235.952376251123153719,59604264352955.070580283619324471,7000163829.211236,59604264.35295507,https://terra-classic-lcd.publicnode.com,
2025-06-08T00:00:00Z,,23693171,23693171,38,7042872608691005.884651457414240983,59617700805009.250236276776479637,7042872608.691006,59617700.80500925,https://terra-classic-lcd.publicnode.com,
2025-06-15T00:00:00Z,,23793971,23793971,38,7071697859780434.213852629712111286,59633606199650.513200576523197952,7071697859.780434,59633606.19965052,https://terra-classic-lcd.publicnode.com,
2025-06-22T00:00:00Z,,23894771,23894771,38,7012745612599482.874446108483087649,59651122265737.376554042636288098,7012745612.599483,59651122.26573738,https://terra-classic-lcd.publicnode.com,
2025-06-29T00:00:00Z,,23995571,23995571,38,7031110130017650.095297202341513495,59677500935106.332632529858940486,7031110130.01765,59677500.93510634,https://terra-classic-lcd.publicnode.com,
2025-07-06T00:00:00Z,,24096371,24096371,38,7058292506309387.655550451495751188,59692349668870.401155861362612218,7058292506.309388,59692349.6688704,https://terra-classic-lcd.publicnode.com,
2025-07-13T00:00:00Z,,24197171,24197171,38,7214688465638258.318363089185936853,59718003833460.459715276025161679,7214688465.638258,59718003.83346046,https://terra-classic-lcd.publicnode.com,
2025-07-20T00:00:00Z,,24297971,24297971,38,7243866798914406.939916087256962244,59758902391089.856063217874000418,7243866798.914407,59758902.39108986,https://terra-classic-lcd.publicnode.com,
2025-07-27T00:00:00Z,,24398771,24398771,38,7266669375180826.981954459007656201,59776057487917.571352154427193640,7266669375.180827,59776057.48791757,https://terra-classic-lcd.publicnode.com,
2025-08-03T00:00:00Z,,24499571,24499571,38,7301010570387333.964787272525962404,59793011514990.269230246208286932,7301010570.387334,59793011.51499026,https://terra-classic-lcd.publicnode.com,
2025-08-10T00:00:00Z,,24600371,24600371,38,7390054380344231.497499699946854076,59839031267893.869310990519986259,7390054380.344231,59839031.267893866,https://terra-classic-lcd.publicnode.com,
2025-08-17T00:00:00Z,,24701171,24701171,38,7524887112538532.433436732602558205,59859569405121.647227012741568820,7524887112.538532,59859569.40512165,https://terra-classic-lcd.publicnode.com,
2025-08-24T00:00:00Z,,24801971,24801971,38,7554420603378511.828053523155614225,59893319714831.913596297519633643,7554420603.378512,59893319.71483191,https://terra-classic-lcd.publicnode.com,
2025-08-31T00:00:00Z,,24902771,24902771,38,7595001578890044.943742206161987214,59916877038362.963751455715836209,7595001578.890045,59916877.03836296,https://terra-classic-lcd.publicnode.com,
2025-09-07T00:00:00Z,,25003571,25003571,38,7620355592193128.869070127091697072,59937549676552.133656197964395245,7620355592.193129,59937549.67655213,https://terra-classic-lcd.publicnode.com,
2025-09-14T00:00:00Z,,25104371,25104371,38,7638244011865759.456083256781323080,59954280975730.453404456652895666,7638244011.865759,59954280.97573046,https://terra-classic-lcd.publicnode.com,
2025-09-21T00:00:00Z,,25205171,25205171,38,7661410248350746.774147372423894836,59985903099291.320588189014877493,7661410248.350747,59985903.09929132,https://terra-classic-lcd.publicnode.com,
2025-09-28T00:00:00Z,,25305971,25305971,38,7939644161885580.101549293807562456,60148054269635.868782410600214076,7939644161.88558,60148054.26963586,https://terra-classic-lcd.publicnode.com,
2025-10-05T00:00:00Z,,25406771,25406771,38,7989795749429207.252303587375879128,60301250415444.776963775135351616,7989795749.429207,60301250.41544478,https://terra-classic-lcd.publicnode.com,
